Keyword,Query,Review Hits
"""digital twin""[tiab]","(""digital twin""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",185
"""digital twins""[tiab]","(""digital twins""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",224
"""digital twinning""[tiab]","(""digital twinning""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",6
"""patient digital twin""[tiab]","(""patient digital twin""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",3
"""patient digital twins""[tiab]","(""patient digital twins""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",1
"""digital patient*""[tiab]","(""digital patient*""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",56
"""virtual twin""[tiab]","(""virtual twin""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",4
"""virtual twins""[tiab]","(""virtual twins""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",5
"""virtual twinning""[tiab]","(""virtual twinning""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",1
"""digital replica""[tiab]","(""digital replica""[tiab][tiab]) AND (patient*[tiab][tiab] OR clinical[tiab][tiab] OR medical[tiab][tiab] OR health[tiab][tiab] OR medicine[tiab][tiab] OR surgery[tiab][tiab] OR treatment[tiab][tiab] OR therapy[tiab][tiab] OR drug[tiab][tiab] OR drugs[tiab][tiab] OR oncology[tiab][tiab] OR cancer[tiab][tiab] OR biomechanics[tiab][tiab] OR imaging[tiab][tiab] OR genomics[tiab][tiab] OR ""precision medicine""[tiab][tiab] OR ""precision health""[tiab][tiab] OR ""digital health""[tiab][tiab] OR ""personalized medicine""[tiab][tiab]) AND (review[pt] OR meta-analysis[pt] OR ""systematic review""[tiab] OR ""scoping review""[tiab] OR ""umbrella review""[tiab] OR ""meta review""[tiab])",5
